reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622879669-5786	4314	Tradescantia 'Sweet Kate'	zon              	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie	violet    	 50 cm  	    40 cm  	    40 cm  	  5- 9
1622884133-15082	4315	Eupatorium maculatum 'Glutball'	zon   half schaduw             	fris vochtig                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	paars    	180 cm  	   125 cm  	   125 cm  	  7- 9
1622884963-17024	4316	Aquilegia vulgaris	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie       Uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	violet    	 60 cm  	    30 cm  	    30 cm  	  5- 6
1622881023-8698	4317	Cephalaria gigantea	zon   half schaduw             	fris vochtig                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	geel    	250 cm  	   200 cm  	   200 cm  	  7- 9
1622883872-14518	4318	Trifolium rubens 'Peach Pink'	zon              	droog fris                	aantal  : 7 tot 10 per m2	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht uitzaaiend         bijenplant	roze    	 45 cm  	    35 cm  	    35 cm  	  5- 7
1622884501-16017	4319	Salvia 'Nachtvlinder'	zon              	droog fris             afdekken    	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   bijenplant                                                                                                New	paars    	 60 cm  	    40 cm  	    40 cm  	  6-10
1622881414-9439	4320	Aster cordifolius 'Blue Heaven'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 90 cm  	    60 cm  	    60 cm  	  9-10
1622884444-15900	4321	Phlox p. 'Fairytale of the Ural'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)          extra informatie               Aromatisch   snijbloem	roze    	100 cm  	    80 cm  	    80 cm  	  7- 9
1622883181-12928	4322	Asclepias incarnata 'Cinderella'	zon   half schaduw             	vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht woekerend         snijbloem  vlinderplant nectar  bijenplant	roze    	120 cm  	    80 cm  	    80 cm  	  7- 9
1622879867-6180	4323	Echinacea purpurea 'Baby Swan White'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 50 cm  	    25 cm  	    25 cm  	  7- 9
1622883874-14522	4324	Chrysogonum virginianum	zon              	fris vochtig                	aantal  : 8 tot 12 per m2	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Ondiepe, frisse bodem (OB2)     Ondiepe, vochtige bodem (OB3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)          extra informatie               bodembedekker  snijbloem	geel    	 30 cm  	    25 cm  	    25 cm  	  5- 8
1622882520-11596	4325	Tellima grandiflora 'Rubra'	half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  snijbloem	rood    	 40 cm  	    20 cm  	    20 cm  	  5- 6
1622880051-6576	4326	Narcissus 'Peeping Tom'	zon              	droog fris                	DRIFT	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem	geel    	 35 cm  	    20 cm  	    20 cm  	  4- 5
1622880882-8410	4327	Agapanthus 'Black Buddhist' (Trumpet-Group)	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  bijenplant	blauw    	 90 cm  	    30 cm  	    30 cm  	  7- 9
1622881600-9835	4328	Strobilanthes rankanensis	zon   half schaduw             	droog fris             afdekken    	aantal  : 2 tot 4 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               vlinderplant nectar  bijenplant	violet    	140 cm  	   100 cm  	   100 cm  	  6-10
1622883314-13286	4329	Vernonia crinita	zon              	fris vochtig                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	paars    	200 cm  	   150 cm  	   150 cm  	  9-11
1622882540-11634	4330	Euphorbia characias 'Purple and Gold'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  snijbloem	geel    	 80 cm  	    70 cm  	    70 cm  	  5- 6
1622881899-10449	4331	Agapanthus FIREWORKS®	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               bladhoudend  snijbloem  bijenplant                                                                                                New	wit    	 70 cm  	    40 cm  	    40 cm  	  7-10
1622882059-10757	4332	Geranium macrorrhizum 'Czakor'	half schaduw  schaduw             	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Bosrand met droge bodem (BR1)     Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)          extra informatie               bladhoudend  bodembedekker  Aromatisch   macho	roze    	 40 cm  	    30 cm  	    30 cm  	  6- 7
1622883359-13423	4333	Echinacea SUNSEEKERS SALMON ®	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 60 cm  	    30 cm  	    30 cm  	  7- 9
1622883060-12647	4334	Tulipa 'Chansonnette'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	paars    	 60 cm  	    30 cm  	    30 cm  	  4- 5
1622881709-10070	4335	Tiarella cordifolia 'Running Tiger'	half schaduw  schaduw             	fris                	aantal  : 9 tot 15 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie       Licht woekerend         bladhoudend  bodembedekker	wit    	 25 cm  	    10 cm  	    10 cm  	  4- 6
1622884528-16077	4336	Phyla nodiflora 'Summer Pearls'	zon              	droog fris             afdekken    	aantal  : 7 tot 10 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               vlinderplant nectar                                                                                              New	lila    	 10 cm  	     5 cm  	     5 cm  	  6- 9
1622883199-12960	4337	Allium fistulosum (BIESLOOK GROF)	zon              	droog                	aantal  : 7 tot 10 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met droge bodem (OP1)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	wit    	 90 cm  	    80 cm  	    80 cm  	  5- 6
1622884891-16887	4338	Hemerocallis 'Aten'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch	oranje    	100 cm  	    80 cm  	    80 cm  	  7- 8
1622883863-14492	4339	Dianthus gratianopolitanus 'Blauigel'	zon              	droog fris                	aantal  : 9 tot 15 per m2  - groepen van 10 tot 24 stuks (C)	Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)     Steenvoegen met droge bodem (SV1)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  Aromatisch	roze    	 10 cm  	     5 cm  	     5 cm  	  5- 7
1622880437-7501	4340	Hedera hibernica stok 140/160	zon   half schaduw  schaduw             	fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie       Woekerend         bladhoudend  snijbloem  macho	groen    	200 cm  	   200 cm  	   200 cm  	  9-12
1622882747-11956	4341	Panicum virgatum PURPLE BREEZE ®	zon              	fris                	aantal  : 4 tot 6 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	bruin    	 80 cm  	    60 cm  	    60 cm  	  8-10
1622883929-14667	4342	Zizia aurea	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   vlinderplant nectar	geel    	 90 cm  	    40 cm  	    40 cm  	  5- 6
1622883280-13198	4343	Carex divulsa JS® 'Bugbos'	half schaduw  schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               bladhoudend                                                                                              New	groen    	 30 cm  	    20 cm  	    20 cm  	  5- 6
1622882491-11516	4344	Persicaria ampl. ALBA JUNIOR ®	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho	wit    	 80 cm  	    40 cm  	    40 cm  	  7- 9
1622882267-11125	4345	Coreopsis rosea 'Heaven's Gate' PBR	zon              	fris vochtig             afdekken    	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)          extra informatie               snijbloem  bijenplant	roze    	 30 cm  	    20 cm  	    20 cm  	  6- 9
1622881163-8903	4346	Arabis caucasica 'Snowcap'	zon   half schaduw             	fris                	aantal  : 9 tot 15 per m2	Muurbeplanting met frisse bodem (M2)     Ondiepe, frisse bodem (OB2)     Stenige, frisse bodem (ST2)     Steenvoegen met frisse bodem (SV2)          extra informatie               bladhoudend  bodembedekker  bijenplant	wit    	 15 cm  	     5 cm  	     5 cm  	  4- 6
1622883179-12923	4347	Astrantia major 'Rosea'	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  bijenplant	roze    	 60 cm  	    30 cm  	    30 cm  	  6- 8
1622884341-15648	4348	Aster amellus 'Rudolf Goethe'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 60 cm  	    40 cm  	    40 cm  	  8-10
1622881220-9010	4349	Geranium DREAMLAND ® (= 'Bremdream' PBR)	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - grotere kolonies in lage beplanting (D)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie	roze    	 40 cm  	    35 cm  	    35 cm  	  5-10
